National Highway,No. of operational PCS
National Highway-10,1
National Highway-11,3
National Highway-128,1
National Highway-13,3
National Highway-130,1
National Highway-130A,2
National Highway-130B,2
National Highway-130C,2
National Highway-135,2
National Highway-143,2
National Highway-148A,2
National Highway-149,2
National Highway-15,4
National Highway-150A,2
National Highway-16,37
National Highway-161A,2
National Highway-163,9
National Highway-167,3
National Highway-167A,1
National Highway-169A,2
National Highway-19,5
National Highway-2,5
National Highway-20,2
National Highway-21,1
National Highway-22,3
National Highway-228,2
National Highway-24,7
National Highway-254,2
National Highway-26,4
National Highway-27,2
National Highway-275,2
National Highway-28,3
National Highway-29,1
National Highway-3,4
National Highway-30,12
National Highway-305,1
National Highway-307,5
National Highway-309,3
National Highway-31,1
National Highway-313,1
National Highway-32,1
National Highway-320D,1
National Highway-334,6
National Highway-34,8
National Highway-346,2
National Highway-347,2
National Highway-347B,2
National Highway-35,1
National Highway-353,2
National Highway-365,1
National Highway-39,10
National Highway-40,1
National Highway-43,2
National Highway-44,39
National Highway-46,2
National Highway-47,2
National Highway-48,11
National Highway-49,2
National Highway-5,6
National Highway-50,3
National Highway-507,1
National Highway-515,4
National Highway-52,6
National Highway-53,5
National Highway-539,14
National Highway-55,9
National Highway-565,1
National Highway-58,10
National Highway-59,2
National Highway-6,8
National Highway-63,1
National Highway-64,2
National Highway-648,2
National Highway-65,22
National Highway-66,8
National Highway-67,4
National Highway-7,18
National Highway-716,1
National Highway-727A,1
National Highway-730,4
National Highway-731,2
National Highway-75,3
National Highway-752B,2
National Highway-752C,2
National Highway-765,1
National Highway-766,2
National Highway-8,12
National Highway-86,2
National Highway-9,15
National Highway-948A,2
Total,419
